"country","rmse_pred_train","rmse_pred_test"
"Argentina",3299.98188426502,20304.9718542935
"Australia",2732.92823310224,40550.6527686511
"Canada",1196.59192413253,9153.20601199876
"Colombia",1464.71991995394,6510.16269158918
"Ecuador",412.98514091287,1830.93611083973
"Ethiopia",222.458559235056,422.723082954461
"France",7591.85754059151,105812.605577449
"Germany",5348.54149116097,112549.638364485
"India",11574.8566655368,56082.2331777914
"Italy",5313.16389233324,69728.1703168217
"Japan",10344.433570805,91707.5693880559
"Mexico",1722.12397827299,13307.4229831612
"Morocco",371.286614995038,1445.79378220222
"Pakistan",435.54843622459,1014.78145399254
"Philippines",1540.27232411896,6451.57764116995
"Russia",4164.52172060927,40312.1490083611
"Saudi Arabia",225.960745915863,810.022331806803
"South Africa",1167.02555054774,3632.12925277553
"South Korea",13138.329451345,103559.198789085
"Sri Lanka",236.514386903421,881.580394018357
"Turkey",4431.06671591303,34296.9009714147
"United Kingdom",9395.46957572716,45587.042474063
"United States",20405.2991428873,168237.709270069
